dummy ein,status,instrumentDesc,serialNum,calInterval,siteCode,owner,project,manufacturer,iso,calJob,calPlace,calCost,dateReceived,id,ein_new,dateCompleted,jobStatus,calCurrency,incomingShip,outgoingShip
76114,Approved,Ionizer Gun,EGX91HER7YU,6,SS,Adria,Dell,Chami,YES,External,Site,0.97,05/25/2019,61,1176114,,Completed,,,
15952,Approved,DC Power Supply,QQY80GMK6YH,12,RSE,Scott,Keysight,Adobe,NO,External,In-site,1.16,05/26/2019,62,1115952,,Completed,,,
77573,Approved,Data Switch,FRH53XQH4UA,3,HS,Lila,Keysight,Cakewalk,YES,Internal,Site,3.78,05/26/2019,63,1177573,,Completed,,,
89558,Approved,Caliper,VYZ07KNR8HC,3,SS,Ciaran,Keysight,Yahoo,YES,External,Site,3.73,05/27/2019,64,1189558,,Completed,,,
11996,Approved,Caliper,OTO37RRA9VK,6,ISL,Rhiannon,Dell,Sibelius,NO,External,Site,4.1,05/27/2019,65,1111996,,Completed,,,
57000,Approved,Ionizer Fan,VQW85MMW2TK,12,HS,Ethan,Dell,Altavista,NO,External,Site,3.48,05/28/2019,66,1157000,,Completed,,,
78996,Approved,Tenma DMM,HFT74XTA2PW,3,RSE,September,PP,Lavasoft,NO,Internal,In-site,1.09,05/28/2019,67,1178996,,Completed,,,
99434,Completed,Ionizer Fan,YVB04LZT7RV,12,HS,Stacey,Dell,Finale,YES,Internal,In-site,3.73,05/28/2019,68,1199434,,Completed,,,
50902,In review,Fluke115,HFD79TXI5ME,3,RS,Hiram,Honeywell,Lavasoft,NO,Internal,Site,2.32,05/29/2019,69,1150902,,Completed,,,
71649,In review,Ionizer Fan,DCP76RDH0LW,12,RSE,Davis,PP,Microsoft,NO,Internal,Site,4.56,05/29/2019,70,1171649,,Completed,,,
63175,Completed,Ionizer Fan,AJU89JKU5NI,3,RS,Gabriel,PP,Lycos,NO,Internal,Site,3.2,05/29/2019,71,1163175,,Completed,,,
79056,Completed,Ionizer Fan,RMU07CZC8BF,6,SS,Daphne,PP,Chami,NO,External,In-site,2.23,05/30/2019,72,1179056,,Completed,,,
64957,Completed,Data Switch,IVW20CXR8PE,3,RS,Zahir,Keysight,Cakewalk,NO,Internal,In-site,4.79,05/30/2019,73,1164957,,Completed,,,
19897,Approved,Fluke117,XKX56WCE5DR,3,SS,Reagan,PP,Macromedia,YES,Internal,In-site,9.99,05/30/2019,74,1119897,,Completed,,,
70465,Approved,Fluke117,QYP51NMF2QA,6,RSE,Kirby,Dell,Sibelius,NO,External,Site,0.49,05/30/2019,75,1170465,,Completed,,,
9551,Approved,Datapaq Q18,CME43SBY7RQ,3,RS,Preston,PP,Borland,NO,Internal,In-site,2.67,05/30/2019,76,119551,,Completed,,,
60504,Completed,Data Switch,ZPF67YSH0ES,12,RSE,Harper,Keysight,Yahoo,YES,External,Site,7.22,05/31/2019,77,1160504,,Completed,,,
52917,In review,Data Switch,LHR06CAH6ZZ,6,RSE,John,Keysight,Borland,YES,Internal,Site,5.94,05/31/2019,78,1152917,,Completed,,,
99072,Completed,Ionizer Fan,FLD32DBY6KT,3,SS,Byron,Honeywell,Lycos,YES,External,Site,6.19,05/31/2019,79,1199072,,Completed,,,
26015,Completed,DC Power Supply,BMJ34TPF2PF,6,RSE,Dolan,Keysight,Microsoft,YES,External,Site,0.53,05/31/2019,80,1126015,,Completed,,,
52154,Completed,Datapaq Q18,ZWQ61BQI4JP,12,HS,Ivor,Honeywell,Yahoo,YES,External,Site,7.03,06/01/2019,81,1152154,,Completed,,,
37238,Completed,Ionizer Gun,QFE98GUY1JI,3,ISL,Carissa,PP,Borland,YES,External,Site,3.85,06/01/2019,82,1137238,,Completed,,,
96483,Approved,Datapaq Q18,BCA95MRO7NV,12,SS,Mari,Dell,Altavista,YES,External,In-site,7.28,06/01/2019,83,1196483,,Completed,,,
30905,In review,Data Switch,LYC52KCK6SL,6,RSE,Tana,PP,Google,YES,External,Site,3.61,06/01/2019,84,1130905,,Completed,,,
46352,Approved,Ionizer Gun,QOE48XHT6XM,3,ISL,Orson,Dell,Apple Systems,NO,Internal,Site,1.95,06/02/2019,85,1146352,,Completed,,,
82096,Completed,Ionizer Fan,DCJ99HRT0MF,12,RS,August,Dell,Sibelius,NO,External,Site,9.59,06/02/2019,86,1182096,,Completed,,,
21773,In review,Data Switch,LQM64MSV9VH,3,HS,George,Keysight,Lycos,YES,Internal,In-site,8.63,06/02/2019,87,1121773,,Completed,,,
14079,Approved,Caliper,BEH13VIX2QO,6,SS,Kalia,Dell,Borland,YES,Internal,Site,0.29,06/02/2019,88,1114079,,Completed,,,
28140,Approved,Fluke117,OQS60IEV3NZ,6,SS,Jamal,Honeywell,Finale,NO,External,Site,9.58,06/02/2019,89,1128140,,Completed,,,
28037,Completed,Caliper,HGR75CDE2WS,3,ISL,Elton,Keysight,Lycos,YES,Internal,Site,5.19,06/02/2019,90,1128037,,Completed,,,
79855,In review,Data Switch,NKQ17CUC6GF,3,SS,Paloma,Honeywell,Apple Systems,YES,Internal,Site,2.76,06/02/2019,91,1179855,,Completed,,,
53268,Approved,DC Power Supply,NZE45IUE1WF,12,SS,Nolan,PP,Macromedia,NO,Internal,Site,0.99,06/03/2019,92,1153268,,Completed,,,
27583,Approved,Fluke117,HEX43BLE6GB,6,HS,Dominique,Keysight,Lycos,YES,External,In-site,6.25,06/03/2019,93,1127583,,Completed,,,
43362,Completed,Fluke115,DDE98OMJ4LL,12,RS,Zena,Dell,Lycos,YES,External,In-site,3.17,06/03/2019,94,1143362,,Completed,,,
40799,Approved,Datapaq Q18,FFX67WLC8BA,6,HS,Dominique,Keysight,Finale,NO,External,Site,3.18,06/04/2019,95,1140799,,Completed,,,
28934,In review,Ionizer Gun,SJY11WBE7OD,3,HS,Ryan,Dell,Borland,NO,Internal,Site,8.21,06/04/2019,96,1128934,,Completed,,,
61290,In review,Ionizer Fan,YMA11RVT3JN,3,RSE,Kasper,Keysight,Adobe,NO,External,Site,5.43,06/04/2019,97,1161290,,Completed,,,
48871,In review,Datapaq Q18,ZRR40KZC1DW,3,ISL,Rhiannon,Honeywell,Google,YES,External,In-site,6.76,06/04/2019,98,1148871,,Completed,,,
78001,Completed,Ionizer Gun,RAC17ZHM4TC,6,ISL,Malcolm,Keysight,Microsoft,YES,Internal,In-site,7.62,06/05/2019,99,1178001,,Completed,,,
31877,In review,Ionizer Fan,JWO18DQN4IB,3,RS,Jason,Keysight,Borland,NO,Internal,Site,4.15,06/05/2019,100,1131877,,Completed,,,
60176,Completed,Fluke117,CHC53XLZ4PJ,3,HS,Seth,Honeywell,Adobe,YES,Internal,Site,7.43,06/05/2019,101,1160176,,Completed,,,
46926,Approved,Tenma DMM,VAY55GUA7HU,6,RS,Maya,PP,Microsoft,NO,Internal,Site,7.14,06/05/2019,102,1146926,,Completed,,,
18095,In review,Caliper,HTW80JED5CZ,3,RS,Alexandra,Keysight,Finale,YES,Internal,In-site,2.64,06/06/2019,103,1118095,,Completed,,,
17274,In review,Fluke115,AWN09QCV4OO,3,RS,Sonya,Dell,Sibelius,NO,Internal,Site,3.42,06/06/2019,104,1117274,,Completed,,,
40178,In review,Datapaq Q18,OAT53VVJ5AV,12,HS,Alexandra,Honeywell,Macromedia,YES,Internal,In-site,4.27,06/06/2019,105,1140178,,Completed,,,
51351,In review,Fluke117,WBN92IQK3LN,12,SS,Beatrice,Honeywell,Lavasoft,YES,Internal,In-site,6.88,06/06/2019,106,1151351,,Completed,,,
54419,In review,Tenma DMM,NSJ82VWQ4QJ,3,HS,Leah,Keysight,Yahoo,NO,External,Site,4.42,06/06/2019,107,1154419,,Completed,,,
51139,Completed,Data Switch,KVY64OSF9RL,6,HS,Macaulay,Honeywell,Lavasoft,NO,External,In-site,8.33,06/06/2019,108,1151139,,Completed,,,
20133,Approved,Datapaq Q18,WYP50RPU3JR,6,SS,Remedios,Honeywell,Google,YES,Internal,Site,1.27,06/06/2019,109,1120133,,Completed,,,
26702,Completed,DC Power Supply,QJQ84IWY8LY,12,RSE,Clayton,Honeywell,Lycos,YES,Internal,Site,6.83,06/07/2019,110,1126702,,Completed,,,
56289,Completed,Fluke115,ESY51LVF4OF,3,HS,Lionel,Honeywell,Apple Systems,YES,Internal,Site,8,06/07/2019,111,1156289,,Completed,,,
78880,Completed,Ionizer Gun,GEN13SWX2IX,3,RSE,Timon,PP,Lavasoft,NO,External,Site,6,06/07/2019,112,1178880,,Completed,,,
65985,In review,Ionizer Gun,NIR25RQU8DN,12,RSE,Dylan,Keysight,Lycos,YES,External,In-site,9.47,06/07/2019,113,1165985,,Completed,,,
76679,Approved,Ionizer Gun,ELJ68RRQ7OD,3,SS,Driscoll,Honeywell,Cakewalk,NO,Internal,In-site,1.4,06/07/2019,114,1176679,,Completed,,,
4311,Approved,Ionizer Fan,PMW58SCD2VF,6,SS,Wanda,Dell,Chami,NO,Internal,Site,1.67,06/07/2019,115,114311,,Completed,,,
62406,Approved,Caliper,JCZ59BOZ7QA,12,SS,Dalton,Dell,Altavista,YES,External,In-site,0.77,06/08/2019,116,1162406,,Completed,,,
12941,Completed,Ionizer Fan,AAR77MUI9DM,3,RS,Lenore,Honeywell,Altavista,NO,Internal,In-site,0.85,06/08/2019,117,1112941,,Completed,,,
49880,Approved,Fluke115,DUL37ISC3ES,12,ISL,Kenneth,PP,Microsoft,NO,Internal,In-site,3.08,06/08/2019,118,1149880,,Completed,,,
48345,In review,Data Switch,FUL04VYW8EZ,6,RSE,Perry,Keysight,Adobe,YES,External,Site,0.52,06/08/2019,119,1148345,,Completed,,,
577,In review,Tenma DMM,SIT01ZTS8PR,6,HS,Gabriel,PP,Yahoo,YES,External,Site,0.25,06/08/2019,120,11577,,Completed,,,
60578,Completed,Fluke115,AKJ95CBX5KS,6,RSE,Zachary,PP,Cakewalk,NO,External,Site,4.17,06/08/2019,121,1160578,,Completed,,,
4745,In review,Caliper,NFG19TJP9SS,12,RS,Axel,Dell,Adobe,YES,Internal,Site,9.2,06/09/2019,122,114745,,Completed,,,
58454,Completed,Datapaq Q18,EZR23HRG1IA,6,RS,Mari,Keysight,Apple Systems,YES,Internal,In-site,2.09,06/09/2019,123,1158454,,Completed,,,
7285,Completed,DC Power Supply,RPM03VJA5VX,3,RSE,Danielle,PP,Google,NO,External,In-site,9.32,06/09/2019,124,117285,,Completed,,,
66045,Completed,Fluke115,UPB66MWW9BY,6,HS,Kuame,PP,Macromedia,NO,External,Site,9.53,06/09/2019,125,1166045,,Completed,,,
47643,Completed,Ionizer Fan,HPI60PXR9HH,6,HS,Ulysses,Honeywell,Adobe,NO,External,In-site,0.83,06/09/2019,126,1147643,,Completed,,,
9291,Completed,Ionizer Fan,PGF14FBD9CZ,12,RS,Brian,Keysight,Lavasoft,NO,Internal,Site,4.27,06/09/2019,127,119291,,Completed,,,
28288,Completed,Fluke115,BRX64ANB7ZR,3,SS,Dane,Keysight,Apple Systems,YES,External,Site,0.78,06/09/2019,128,1128288,,Completed,,,
48533,Approved,Ionizer Gun,HZZ37NFT6SV,3,ISL,Jeremy,Keysight,Finale,NO,External,Site,8.65,06/09/2019,129,1148533,,Completed,,,
57138,Approved,DC Power Supply,KDB28IYE0UL,6,SS,Curran,Honeywell,Borland,NO,External,In-site,4.97,06/10/2019,130,1157138,,Completed,,,
61848,Approved,DC Power Supply,QER59YTH3AL,3,ISL,Chava,Honeywell,Sibelius,NO,Internal,In-site,3.17,06/10/2019,131,1161848,,Completed,,,
87323,Approved,Tenma DMM,CYZ93ADY8SY,3,HS,Olympia,Dell,Google,NO,Internal,Site,5.87,06/10/2019,132,1187323,,Completed,,,
22676,In review,Ionizer Fan,SAY93YKV9FZ,6,ISL,Brady,Dell,Sibelius,NO,External,In-site,2.7,06/10/2019,133,1122676,,Completed,,,
46524,Approved,Datapaq Q18,LRP31ICF6GD,12,HS,Cairo,Keysight,Chami,NO,External,In-site,9.89,06/10/2019,134,1146524,,Completed,,,
12778,Approved,Datapaq Q18,XNN04TRE9AK,3,ISL,Mercedes,PP,Chami,NO,Internal,In-site,6.16,06/11/2019,135,1112778,,Completed,,,
75919,Completed,Caliper,LGO98ACC9IY,12,HS,Joy,PP,Finale,YES,Internal,Site,8.89,06/11/2019,136,1175919,,Completed,,,
59791,Approved,DC Power Supply,VUR95GTQ5QF,12,ISL,Noelle,Honeywell,Chami,NO,External,In-site,6.15,06/11/2019,137,1159791,,Completed,,,
83266,Completed,Data Switch,DMK88NGX6EK,6,ISL,Amena,Honeywell,Apple Systems,NO,Internal,Site,9.3,06/12/2019,138,1183266,,Completed,,,
36398,In review,DC Power Supply,BJA54DOE1PJ,3,ISL,Nasim,Keysight,Cakewalk,YES,External,In-site,6.3,06/12/2019,139,1136398,,Completed,,,
75893,In review,Ionizer Fan,ZAE60IBR6CH,6,SS,Lisandra,Honeywell,Google,NO,Internal,Site,3.71,06/12/2019,140,1175893,,Completed,,,
45706,In review,Datapaq Q18,WJY32POB6FR,3,ISL,Kirk,Keysight,Lycos,NO,External,In-site,1.28,06/12/2019,141,1145706,,Completed,,,
48091,Approved,Ionizer Fan,LKS58QYW9YM,6,ISL,Harlan,Dell,Google,NO,External,Site,1.37,06/12/2019,142,1148091,,Completed,,,
99773,In review,Fluke117,OMX67BHQ8WD,12,HS,Casey,Keysight,Cakewalk,YES,Internal,Site,5.9,06/13/2019,143,1199773,,Completed,,,
55177,In review,Ionizer Gun,GIM75QHY7JY,6,ISL,Axel,Keysight,Borland,NO,External,In-site,9.98,06/13/2019,144,1155177,,Completed,,,
13718,In review,Tenma DMM,DXS92FTC6HQ,12,HS,Zenia,Honeywell,Lycos,NO,External,In-site,9.55,06/13/2019,145,1113718,,Completed,,,
45229,Approved,Fluke115,RJM48SCC5GP,6,RS,Jared,Honeywell,Apple Systems,NO,Internal,In-site,3.09,06/13/2019,146,1145229,,Completed,,,
33064,In review,Fluke117,SWE02ZZI5LM,12,HS,Emmanuel,Honeywell,Chami,YES,External,In-site,4.92,06/13/2019,147,1133064,,Completed,,,
25248,Approved,Ionizer Fan,TVH37QIV6AU,12,RSE,Sade,Dell,Sibelius,YES,Internal,In-site,4.6,06/13/2019,148,1125248,,Completed,,,
56687,Completed,Datapaq Q18,ZDX90GNN7LO,3,RSE,Octavius,Keysight,Adobe,YES,External,Site,8.36,06/14/2019,149,1156687,,Completed,,,
44525,Completed,Caliper,XIE26KZY3TU,12,RS,Bryar,Dell,Google,NO,External,Site,2.86,06/14/2019,150,1144525,,Completed,,,
94853,Completed,Datapaq Q18,MSM91FCZ6QC,6,RS,Laith,Dell,Macromedia,NO,Internal,In-site,0.73,06/14/2019,151,1194853,,Completed,,,
70042,Approved,Tenma DMM,CXK43ALA6BM,12,ISL,Shea,Dell,Adobe,NO,Internal,Site,2.97,06/14/2019,152,1170042,,Completed,,,
34688,Completed,Datapaq Q18,PDF08MKU4PJ,12,ISL,Jaden,Keysight,Altavista,NO,Internal,Site,9.09,06/14/2019,153,1134688,,Completed,,,
41251,In review,Caliper,ODJ55HGM0TH,3,ISL,Kelsie,Honeywell,Apple Systems,YES,Internal,In-site,1.21,06/14/2019,154,1141251,,Completed,,,
40958,Approved,Tenma DMM,GPP29JZV4OJ,3,ISL,Tiger,Keysight,Microsoft,NO,External,In-site,3.19,06/14/2019,155,1140958,,Completed,,,
46231,In review,Datapaq Q18,AVW53PYE6UU,3,ISL,Glenna,PP,Sibelius,NO,External,In-site,2.29,06/14/2019,156,1146231,,Completed,,,
57525,Completed,Caliper,UIH64JDU1IC,3,SS,Theodore,Dell,Cakewalk,YES,Internal,In-site,2.99,06/14/2019,157,1157525,,Completed,,,
82592,Completed,DC Power Supply,NUD58WJS5OQ,12,RSE,Gareth,Honeywell,Sibelius,YES,Internal,In-site,3.89,06/14/2019,158,1182592,,Completed,,,
19515,Completed,Ionizer Gun,ULV72PCH0VR,6,RSE,Wade,PP,Cakewalk,NO,External,In-site,0.55,06/15/2019,159,1119515,,Completed,,,
89202,In review,Data Switch,GIN92WEI1CQ,6,ISL,Eleanor,Keysight,Chami,NO,External,In-site,0.31,06/15/2019,160,1189202,,Completed,,,
49260,Completed,Tenma DMM,BHG50IEN4ZI,12,RS,Chester,Keysight,Apple Systems,YES,External,Site,8.66,06/15/2019,161,1149260,,Completed,,,
28628,Completed,DC Power Supply,XCL38FMQ2HD,3,SS,Glenna,Dell,Lycos,YES,External,In-site,8.95,06/15/2019,162,1128628,,Completed,,,
49055,Approved,Ionizer Gun,ELF34QXU9DH,12,SS,Uriah,PP,Lycos,YES,External,In-site,7.97,06/15/2019,163,1149055,,Completed,,,
12063,Approved,Tenma DMM,TLG69DGH2KB,3,ISL,Ulla,Keysight,Apple Systems,YES,External,In-site,0.13,06/15/2019,164,1112063,,Completed,,,
62291,Approved,Fluke115,EVR77APE0JX,3,SS,Amethyst,Keysight,Cakewalk,NO,Internal,In-site,9.77,06/16/2019,165,1162291,,Completed,,,
37220,In review,Ionizer Gun,KSM59EJG3GH,6,HS,Gannon,Honeywell,Altavista,YES,Internal,In-site,7.99,06/16/2019,166,1137220,,Completed,,,
40364,Completed,Fluke117,UFX17GEA1QK,12,RSE,Lance,Dell,Macromedia,YES,Internal,In-site,8.9,06/16/2019,167,1140364,,Completed,,,
11708,Completed,Ionizer Fan,WAW91OTD2LT,12,RSE,Orla,PP,Apple Systems,YES,External,In-site,8.53,06/16/2019,168,1111708,,Completed,,,
83384,In review,Datapaq Q18,UKE83XFD4ID,6,SS,Quynn,Keysight,Cakewalk,NO,Internal,In-site,6.45,06/16/2019,169,1183384,,Completed,,,
23908,Completed,Fluke117,HDH12MVD2SG,6,HS,Gabriel,Keysight,Finale,NO,External,Site,7.35,06/16/2019,170,1123908,,Completed,,,
58741,In review,Ionizer Gun,NRY20ZAN8SC,6,SS,Erica,Dell,Lycos,NO,External,In-site,8.97,06/16/2019,171,1158741,,Completed,,,
23568,Approved,Fluke117,GSA21FQE6PJ,12,HS,Eugenia,Dell,Lycos,YES,External,In-site,7.9,06/17/2019,172,1123568,,Completed,,,
